asin;helpful_vote;parent_asin;rating;text;timestamp;title;user_id;verified_purchase
B000DN5UT0;0;B000DN5UT0;5.0;Absolutely wonderful listening to the poetry in the author's voice.;1504825141445;Five Stars;AGSPTL4RQAXG4TLMP3IG7Y4JFW5A;True
080483816X;0;080483816X;5.0;I am teaching myself Mandarin and this book has been FANTASTIC! With just the first two chapters, I have been able to recognize whole words and syllables while watching dramas on Netflix.<br /><br />I recommend it!;1623529314696;Bu cuo! Self-guided learning made easy;AEMBS6HBBPFH6JQILNA6LJF4R75Q;True
0804170991;1;0804170991;4.0;"I lean to a 4 star on ""The Sleepwalker"". Overall, the story, plot and pacing was well done. The ending was a little on the thin side, but that happens and it didn't ruin the reading experience.";1651358241140;Good read;AGSP6LSQK32SQEJO3YVVNACPWMSQ;True
0358067316;0;0358067316;4.0;"The thing that struck me while I was reading ""Guest: A Changeling Tale"" by Mary Downing Hahn is that poor Mollie felt tension from all sides.<br /><br />Mollie lives in a vague time and in a vague place where the 'others' are not very far. Her little brother, Thomas, is a beautiful boy and because of that, all who see him try to keep from acknowledging it as it will tempt those called the ""Kinde Folke"" to steal him away. Older sister, Mollie, makes the mistake of giving her young brother sweet words of praise. Not long after, Thomas is taken and a changeling is left in his place. As noted, the tension for Mollie to fix the situation comes from all sides but she wants to remedy the situation so she  (and the changeling she calls ""Guest"") go off on the journey to find Thomas and bring him back.<br /><br />Like most Downing Hahn books, the story doesn't go overly long and it isn't overly done either. The author writes plain yet pointed prose which keeps the plot and pace even. What I do appreciate about this book is that there is an ambiguity from start to finish that kept me guessing on what the outcome would be. It was a nice change of pace and an enjoyable read.";1568936923481;Tension from all sides;AGSP6LSQK32SQEJO3YVVNACPWMSQ;False
0763690457;5;0763690457;5.0;This is a beautifully illustrated book with a great message. It is suitable for a very young reader, there are not many words and the story relies on the illustrations. Just a couple Spanish words as well.;1544739386448;Beautiful illustrations;AE3WJ3IDKDL3AVWIVWVIIFOQKBEQ;True
1338569090;0;1338569090;3.0;(3.5)<br />As the book starts, Emily is in trouble for sassing her mother even going so far as to making her mother cry. That's really quite bad in and of it's self! Bad Emily! Later on, she overhears her parents speaking and her mother leaves. She's gone awhile and soon her dad says he has to go somewhere but he'll be back soon. When the days stretch on and he doesn't come back either Emily realizes she's going to have to find them. She realizes this is even more urgent after a strange person knocks on her door and, well, you'll have to read the book to find out how strange and why she realizes just how important things are.<br />This is a good middle grade book. It's a good story for all ages I think but some things might be more appropriate for children on the higher end of the 8-12 recommendation. I would let my 8 year old read it without worry but some might not feel it entirely safe for a little bit of the language used. Emily can be a bit rude as well and the meanness to her mom was a bit harsh but it's a story. It all works itself out, or if it doesn't it opens up a good line of communication with a child.<br />The story was well written and the second one in the series is likely as good. It's a decent story that is one worth giving a read.;1588002918500;Good story with a unique cast of characters;AHWCZ47A7FIYEJ7KEJG3BO3F5YXQ;False
0985101008;3;0985101008;5.0;"This was one great book.  It's categorized as a self-help book and it most certainly is but let me tell you, it is so much more than most of the self-help books out there (at least those that I've read).  From the very first page it is easy to see that it has its own style and stands out from others.  I really enjoyed reading this book and was surprised at how much I learned from it about myself and the world around me in general (that sounds so silly when I type it that way, but seriously read it and you will get it!).<br /><br />As with all my reviews (that I'm sure you've never read any of :P) I don't like to give a lot away when it comes to story and plot line because I hate risking ruining things for the reader and I think it's so cruel to take away the joy of reading by getting spoilers in the review process so I'll keep it general but as focused as best as my ""too fast for their own good"" typing fingers can do.<br /><br />What is really great about this book is that it really inspires the reader to make personal choices through their own free will and pretty much makes you take a look at actions and choices and lets you see that the choices you make are yours.  Sounds simple enough, but it's amazing how simple enough it is not!  This book almost reads like short stories (yes, a self-help book written in story form with characters and an actual story going on, it's rather cool to be blunt about it) chapter and section by chapter and section.  It's engaging and fun to read.  You can read it in one sitting or you can read a section at a time and come back to it when you want to (which will be pretty quick I'm guessing!).  You will learn to take control of your life and the choices that you make in your life (every day and business) and take away some amazing lessons from reading this book.<br /><br />I would really suggest that when you read this book, which you really should do, you get out either a highlighter if you are a book marker-upper, a notebook, or get ready to highlight the heck out of your e-reader because you will want to make note of a lot of the lessons and thoughts within this book in order to be able to look back on them later.  This book has a way of getting to you where you will either want to go back to certain parts of it or even reread it a few times.  It can give you new perspectives, remind you of old perspectives you may have forgotten in the everyday shuffle of life, and it may just give you a little push in the right direction.  This is a great book and I would recommend it to just about everyone if you are looking for inspiration in taking charge in everyday life.  It's a great read that I really enjoyed a lot.";1366921824000;Highly Recommended;AHWCZ47A7FIYEJ7KEJG3BO3F5YXQ;False
0848756657;2;0848756657;4.0;Physically this is abeautiful booki. Hard overed it contains gorgeous photography. It is organized according to the typ eof get together, i.e. cocktail party,  barbecue/cook out, etc. The text is light and readable. It features entertaining tips and recipes. Both are doable even  for novices. The recipies are standards. While not wildldy creative they are tasty and sure to be popular. Even novices will be able to master them. tis book captures the charm southern hostesses are known for. Attractive book with some nice tips and tasty recipes.;1542950324599;Southern Charm;AH665SQ6SQF6DXAGYIQFCX76LALA;False
1624149898;0;1624149898;5.0;I've never woven anything on a loom before, except maybe some pot-holders when I was a kid.  I've knitted a lot of stuff but this is my first time at using a loom.  I don't want to make a loom right now though the instructions on how to make a small loom are in the book.  I bought one at the craft store and it's pretty good.  I have many different types of yarns and even have some of my dog's fur (rest in peace my beloved Spitz) which is perfect for spinning and using as a texture for weaving.<br /><br />The projects are not overly complicated or difficult and they start easy and gradually get more complex.  Lots of good pictures and instructions are included.  I like this book and am looking forward to getting better at my woven creations.;1578179948099;Very Good Book on Beginning Weaving;AEYVPPWR4CIKWX4BGYKCBCDL2CZQ;False
B08BTX5H2J;3;B08BTX5H2J;5.0;I bought this to teach my student online classes and I can say this is a very good material for student and teachers.<br />The instructions are clear and it is very easy to learn. My students doesn’t have a hard time learning from this and I’ll be getting level 2 soon.;1672548591735;Excellent book for beginners!;AGIIL7YIFBWA75X2EB43RWKZ5ZRA;True
0367185822;0;0367185822;5.0;Was in perfect shape when it arrived and very informative!;1614632168376;Great book;AGVJ6TQOKXND4YQ3FMEF6M2X7D3A;True
1440350280;4;1440350280;3.0;"""Paint, Play, Explore"" is an art book where the author encourages the reader to try a large variety of tools, mediums, and materials to make unique marks. She suggests a variety of tools to try (from brushes and pencils to leaves and cardboard tubes) and marks to make (finger marks, circles, dots, lines, and more). But she basically tells people to experiment on your own and record your observations in a journal. There wasn't a lot of guidance--or, as another reviewer described it, she provides exercises in chaos. It's more suggestions to stimulate you to think of new things to try in your own painting play and exploration.";1537736492593;Suggestions to stimulate you to think of new things to try;AGRCXV4NM763VGZGD6BQ2VGNCJNA;False
1501864815;3;1501864815;3.0;This book contains 100 short devotions based off of Dietrich Bonhoeffer’s theological writings. For each entry, there's the verse reference that you look up in your own Bible. It's usually a chunk of 4-12 verses which Bonhoeffer was referring to in that day's quote. Then there's a short, 1-3 sentence long quote from Bonhoeffer. Then the author wrote 4-5 paragraphs of commentary on the Bonhoeffer quote, usually re-quoting the day's quote as he went. He explained the context of the quote and where it came from, clarified what Bonhoeffer meant (though usually that was obvious), and left the reader with a core, Christian concept to meditate on throughout the day. Each entry was about 1.5 pages long and only took a few minutes to read. While the author used good, core Christian concepts in the devotions, I had thought there was going to be more of Bonhoeffer--the devotion being Bonhoeffer's writings themselves, not someone talking about what he said. So it was fine, just not what I'd expected.;1536599813383;Commentary on Bonhoeffer's writings;AGRCXV4NM763VGZGD6BQ2VGNCJNA;False
